# ---------------------------------- WARNING ----------------------------------
# Some of the data that you have obtained from this South Florida Water Management District
# database may not have received complete review. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that the South Florida Water Management District may not be held liable
# for any damages resulting from its use.
#
# DBHYDRO User Guide: https://www.sfwmd.gov/sites/default/files/documents/dbhydroinsightsuserdocumentation.pdf
#
# DBHYDRO FAQ: https://insights.sfwmd.gov/#/faq
#
# Provisional Data Statement:
# Data are provisional and subject to revision until they have been reviewed and have received approval.
# Current condition data relayed by satellite or other telemetry are not automatically screened for improbable values.
# Provisional data may be inaccurate due to instrument malfunctions or physical changes at the measurement location. 
# Subsequent review based on field inspections and measurements may result in significant revisions to the data.
# Data users are cautioned to consider carefully the provisional nature of the information before using it for decisions that concern 
# personal or public safety or the conduct of business that involves substantial monetary or operational consequences.
# Information concerning the accuracy and appropriate uses of these data or concerning other hydrologic data may be sought
# by contacting the agency to which a data set is attributed.
#
# Contact:   datarequests@sfwmd.gov
#
# Data for the following location(s) are contained in this output:
#        S28_S               S-28 SPILLWAY ON CANAL C-8 AT TIDEWATER
#
#-----------------------------------------------------------------------------
#
# Data provided:
#        agency  dbkey   station      parameter      frequency statistic strata  opNum   recorder  description
#        WMD     65070   S28_S        FLOW           BK        INST      0               DRV       S28_S - Derived Time Series Instantaneous flow (cfs) 
#
# Data-value qualification and other codes included in this output are described at: https://insightsdata.sfwmd.gov/#/reference-tables
#
TIMESERIESID,STATION,SOURCE_TIMESERIES,PARAMETER,TIMESTAMP,VALUE,CODE,REVISION_DATE,QUALITY_CODE
"65070","S28_S","S28-S-Q",FLOW,2020-03-01 00:00:17,0, , ,A
"65070","S28_S","S28-S-Q",FLOW,2020-03-01 00:03:04,0, , ,A
"65070","S28_S","S28-S-Q",FLOW,2020-03-01 00:03:05,0, , ,A
"65070","S28_S","S28-S-Q",FLOW,2020-03-01 00:03:12,0, , ,A
"65070","S28_S","S28-S-Q",FLOW,2020-03-01 00:07:33,0, , ,A
"65070","S28_S","S28-S-Q",FLOW,2020-03-01 00:12:55,0, , ,A
"65070","S28_S","S28-S-Q",FLOW,2020-03-01 00:15:18,0, , ,A
"65070","S28_S","S28-S-Q",FLOW,2020-03-01 00:15:26,0, , ,A
"65070","S28_S","S28-S-Q",FLOW,2020-03-01 00:16:48,0, , ,A
"65070","S28_S","S28-S-Q",FLOW,2020-03-01 00:19:40,0, , ,A
"65070","S28_S","S28-S-Q",FLOW,2020-03-01 00:24:07,0, , ,A
"65070","S28_S","S28-S-Q",FLOW,2020-03-01 00:24:08,0, , ,A
"65070","S28_S","S28-S-Q",FLOW,2020-03-01 00:25:21,0, , ,A
"65070","S28_S","S28-S-Q",FLOW,2020-03-01 00:30:18,0, , ,A
"65070","S28_S","S28-S-Q",FLOW,2020-03-01 00:34:16,0, , ,A
"65070","S28_S","S28-S-Q",FLOW,2020-03-01 00:38:03,0, , ,A
"65070","S28_S","S28-S-Q",FLOW,2020-03-01 00:41:50,0, , ,A
"65070","S28_S","S28-S-Q",FLOW,2020-03-01 00:45:12,0, , ,A
"65070","S28_S","S28-S-Q",FLOW,2020-03-01 00:54:07,0, , ,A
